CollectionTime,Value,ParameterName,UnitName,Location
2000-03-21 00:00:00,0.5,,ft,SSRB South
2000-03-28 00:00:00,5.0,,ft,SSRB South
2000-04-03 00:00:00,4.8,,ft,SSRB South
2000-04-10 00:00:00,5.0,,ft,SSRB South
1997-12-22 00:00:00,0.74,,ft,Cell2-LDS
2000-04-17 00:00:00,4.5,,ft,SSRB South
2000-04-24 00:00:00,4.9,,ft,SSRB South
2000-05-01 00:00:00,5.9,,ft,SSRB South
2000-05-08 00:00:00,6.0,,ft,SSRB South
2000-05-09 00:00:00,0.5,,ft,SSRB South
2000-05-18 00:00:00,0.5,,ft,SSRB South
2000-05-24 00:00:00,5.9,,ft,SSRB South
2000-05-25 00:00:00,0.5,,ft,SSRB South
2000-05-30 00:00:00,6.0,,ft,SSRB South
2000-04-03 00:00:00,0.4,,ft,Cell2-LDS
1997-12-23 00:00:00,0.48,,ft,Cell2-LDS
2000-04-04 00:00:00,0.4,,ft,Cell2-LDS
2000-04-05 00:00:00,0.4,,ft,Cell2-LDS
2000-04-06 00:00:00,0.4,,ft,Cell2-LDS
2000-04-07 00:00:00,0.4,,ft,Cell2-LDS
2000-04-10 00:00:00,0.4,,ft,Cell2-LDS
2000-04-11 00:00:00,0.4,,ft,Cell2-LDS
2000-04-12 00:00:00,0.4,,ft,Cell2-LDS
2000-04-13 00:00:00,0.4,,ft,Cell2-LDS
2000-04-14 00:00:00,0.4,,ft,Cell2-LDS
2000-04-17 00:00:00,0.6,,ft,Cell2-LDS
1997-12-29 00:00:00,0.64,,ft,Cell2-LDS
2000-04-18 00:00:00,0.2,,ft,Cell2-LDS
2000-04-19 00:00:00,0.2,,ft,Cell2-LDS
2000-04-20 00:00:00,0.3,,ft,Cell2-LDS
2000-04-24 00:00:00,0.4,,ft,Cell2-LDS
2000-04-25 00:00:00,0.4,,ft,Cell2-LDS
2000-04-26 00:00:00,0.4,,ft,Cell2-LDS
2000-04-27 00:00:00,0.4,,ft,Cell2-LDS
2000-04-28 00:00:00,0.4,,ft,Cell2-LDS
2000-05-01 00:00:00,0.6,,ft,Cell2-LDS
2000-05-02 00:00:00,0.4,,ft,Cell2-LDS
1997-12-30 00:00:00,0.66,,ft,Cell2-LDS
2000-05-03 00:00:00,0.4,,ft,Cell2-LDS
2000-05-04 00:00:00,0.4,,ft,Cell2-LDS
2000-05-05 00:00:00,0.4,,ft,Cell2-LDS
2000-05-08 00:00:00,0.4,,ft,Cell2-LDS
